Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,312.6139760017395,0,0,0,0,0,0,518
ibm_sherbrooke,2,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,211.03229403495789,0,0,0,0,0,0,518
ibm_brisbane,3,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,265.55187368392944,0,0,0,0,0,0,518
ibm_sherbrooke,3,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,146.58434963226318,0,0,0,0,0,0,518
ibm_brisbane,4,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,419.1932017803192,0,0,0,0,0,0,518
ibm_sherbrooke,4,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,154.4800455570221,0,0,0,0,0,0,518
ibm_brisbane,5,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,613.3066368103027,0,0,0,0,0,0,518
ibm_sherbrooke,5,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,161.11841297149658,0,0,0,0,0,0,518
ibm_brisbane,6,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,848.5984146595001,0,0,0,0,0,0,518
ibm_sherbrooke,6,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,168.34104824066162,0,0,0,0,0,0,518
ibm_brisbane,7,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,1165.4591586589813,0,0,0,0,0,0,518
ibm_sherbrooke,7,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,170.22397637367249,0,0,0,0,0,0,518
ibm_brisbane,8,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,1548.9817037582397,0,0,0,0,0,0,518
ibm_sherbrooke,8,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,166.5855314731598,0,0,0,0,0,0,518
ibm_brisbane,9,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,2097.3415796756744,0,0,0,0,0,0,518
ibm_sherbrooke,9,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,170.68096208572388,0,0,0,0,0,0,518
ibm_brisbane,10,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,52282.07892179489,0,0,0,0,0,0,518
ibm_sherbrooke,10,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,181.7849304676056,0,0,0,0,0,0,518
ibm_brisbane,2,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,764.6627326011658,0,0,0,0,0,0,1036
ibm_sherbrooke,2,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,748.8166851997375,0,0,0,0,0,0,1036
ibm_brisbane,3,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,1309.5012962818146,0,0,0,0,0,0,1036
ibm_sherbrooke,3,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,771.384717464447,0,0,0,0,0,0,1036
ibm_brisbane,4,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,1944.2876222133636,0,0,0,0,0,0,1036
ibm_sherbrooke,4,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,803.8985600471497,0,0,0,0,0,0,1036
ibm_brisbane,5,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,2826.768618106842,0,0,0,0,0,0,1036
ibm_sherbrooke,5,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,767.7250936031342,0,0,0,0,0,0,1036
ibm_brisbane,6,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,3834.8619887828827,0,0,0,0,0,0,1036
ibm_sherbrooke,6,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,838.7911927700043,0,0,0,0,0,0,1036
