Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
ibm_brisbane,2,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,140.89506649971008,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,2,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,145.51385235786438,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,3,206,1,206,1,0.5,0.5,0.9951690821256038,0.004830917874396135,0.6655896607431341,253.02950382232666,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,3,0,207,0,207,0.5,0,0.0,1.0,0,149.88755130767822,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,4,206,1,206,1,0.5,0.5,0.9951690821256038,0.004830917874396135,0.6655896607431341,410.7113447189331,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,4,0,207,0,207,0.5,0,0.0,1.0,0,153.4856140613556,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,5,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,605.2531998157501,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,5,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,158.18753695487976,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,6,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,847.0328588485718,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,6,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,145.45857858657837,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,7,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,1163.6962630748749,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,7,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,169.1384630203247,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,8,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,1587.0922856330872,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,8,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,149.29270696640015,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,9,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,2133.0101556777954,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,9,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,176.45067620277405,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,10,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,2939.290216445923,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,10,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,147.5994622707367,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_sherbrooke,2,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,781.3297183513641,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,1036
ibm_brisbane,2,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,50120.35897541046,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,1036
ibm_sherbrooke,3,413,1,413,1,0.5,0.5,0.9975845410628019,0.0024154589371980675,0.6661290322580645,1294.0947074890137,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,1036
ibm_brisbane,3,413,1,413,1,0.5,0.5,0.9975845410628019,0.0024154589371980675,0.6661290322580645,754.8285653591156,4.912659,,127,5.8205731058650834e-05,5.8205731058650834e-05,0.0266478531003937,1036
ibm_sherbrooke,4,0,414,0,414,0.5,0,0.0,1.0,0,1962.8004140853882,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,1036
ibm_brisbane,4,0,414,0,414,0.5,0,0.0,1.0,0,807.2789175510406,4.912659,,127,5.8205731058650834e-05,5.8205731058650834e-05,0.0266478531003937,1036
ibm_sherbrooke,5,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,2801.562583208084,0,,127,0.0003131785229951029,0.0003131785229951029,0.029796690452755906,1036
ibm_brisbane,5,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,805.392808675766,4.912659,,127,5.8205731058650834e-05,5.8205731058650834e-05,0.02715343565452756,1036
ibm_sherbrooke,6,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,3821.269096136093,0,,127,0.0003131785229951029,0.0003131785229951029,0.030994325172244094,1036
ibm_brisbane,6,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,823.4360411167145,4.912659,,127,5.8205731058650834e-05,5.8205731058650834e-05,0.02715343565452756,1036
