Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,0.0587921142578125,0.0587921142578125,518
3,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,0.007670164108276367,0.007670164108276367,518
4,207,1,206,0,0.5024154589371981,0.5012106537530266,1.0,0.004830917874396135,0.667741935483871,0.009603738784790039,0.009603738784790039,518
5,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,0.006294965744018555,0.006294965744018555,518
6,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,0.006605863571166992,0.006605863571166992,518
7,3,206,1,204,0.5048309178743962,0.75,0.014492753623188406,0.9951690821256038,0.028436018957345974,0.005923032760620117,0.005923032760620117,518
8,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,0.010396003723144531,0.010396003723144531,518
9,5,206,1,202,0.5096618357487923,0.8333333333333334,0.024154589371980676,0.9951690821256038,0.046948356807511735,0.011795997619628906,0.011795997619628906,518
10,6,206,1,201,0.5120772946859904,0.8571428571428571,0.028985507246376812,0.9951690821256038,0.056074766355140186,0.012871026992797852,0.012871026992797852,518
2,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,1.180521011352539,1.180521011352539,1036
3,414,1,413,0,0.501207729468599,0.5006045949214026,1.0,0.0024154589371980675,0.6672038678485093,2.3848187923431396,2.3848187923431396,1036
4,1,414,0,413,0.501207729468599,1.0,0.0024154589371980675,1.0,0.0048192771084337345,1.7345249652862549,1.7345249652862549,1036
5,2,414,0,412,0.5024154589371981,1.0,0.004830917874396135,1.0,0.009615384615384614,1.7345709800720215,1.7345709800720215,1036
6,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,2.686257839202881,2.686257839202881,1036
7,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,1.9427847862243652,1.9427847862243652,1036
8,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,2.32682204246521,2.32682204246521,1036
9,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,2.4920668601989746,2.4920668601989746,1036
10,10,413,1,404,0.5108695652173914,0.9090909090909091,0.024154589371980676,0.9975845410628019,0.047058823529411764,2.627840042114258,2.627840042114258,1036
2,1,622,0,620,0.501206757843926,1.0,0.001610305958132045,1.0,0.003215434083601286,3.2162768840789795,3.2162768840789795,1555
3,1,622,0,620,0.501206757843926,1.0,0.001610305958132045,1.0,0.003215434083601286,3.2701711654663086,3.2701711654663086,1555
4,620,3,619,1,0.501206757843926,0.5004035512510089,0.998389694041868,0.00482315112540193,0.6666666666666667,3.3911490440368652,3.3911490440368652,1555
5,2,621,1,619,0.501206757843926,0.6666666666666666,0.00322061191626409,0.9983922829581994,0.00641025641025641,2.1860077381134033,2.1860077381134033,1555
6,2,621,1,619,0.501206757843926,0.6666666666666666,0.00322061191626409,0.9983922829581994,0.00641025641025641,1.169586181640625,1.169586181640625,1555
7,2,621,1,619,0.501206757843926,0.6666666666666666,0.00322061191626409,0.9983922829581994,0.00641025641025641,1.4291539192199707,1.4291539192199707,1555
8,13,619,3,608,0.5084473049074819,0.8125,0.020933977455716585,0.9951768488745981,0.04081632653061224,1.599198818206787,1.599198818206787,1555
9,13,619,3,608,0.5084473049074819,0.8125,0.020933977455716585,0.9951768488745981,0.04081632653061224,2.0822372436523438,2.0822372436523438,1555
10,13,619,3,608,0.5084473049074819,0.8125,0.020933977455716585,0.9951768488745981,0.04081632653061224,0.7895119190216064,0.7895119190216064,1555
2,828,4,825,0,0.5021122510561256,0.5009074410163339,1.0,0.0048250904704463205,0.6674727932285368,1.6654009819030762,1.6654009819030762,2073
3,827,4,825,1,0.5015087507543754,0.5006053268765133,0.998792270531401,0.0048250904704463205,0.6669354838709677,1.793881893157959,1.793881893157959,2073
4,16,824,5,812,0.5069402534701267,0.7619047619047619,0.01932367149758454,0.9939686369119421,0.03769140164899882,1.4816620349884033,1.4816620349884033,2073
5,16,824,5,812,0.5069402534701267,0.7619047619047619,0.01932367149758454,0.9939686369119421,0.03769140164899882,1.6678369045257568,1.6678369045257568,2073
6,16,824,5,812,0.5069402534701267,0.7619047619047619,0.01932367149758454,0.9939686369119421,0.03769140164899882,1.3716909885406494,1.3716909885406494,2073
7,16,824,5,812,0.5069402534701267,0.7619047619047619,0.01932367149758454,0.9939686369119421,0.03769140164899882,1.57517409324646,1.57517409324646,2073
8,16,824,5,812,0.5069402534701267,0.7619047619047619,0.01932367149758454,0.9939686369119421,0.03769140164899882,1.3708178997039795,1.3708178997039795,2073
9,18,824,5,810,0.508147254073627,0.782608695652174,0.021739130434782608,0.9939686369119421,0.04230317273795534,1.6546928882598877,1.6546928882598877,2073
10,18,824,5,810,0.508147254073627,0.782608695652174,0.021739130434782608,0.9939686369119421,0.04230317273795534,1.5002760887145996,1.5002760887145996,2073
2,1036,4,1032,0,0.5019305019305019,0.5009671179883946,1.0,0.003861003861003861,0.6675257731958762,2.031567096710205,2.031567096710205,2592
3,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,1.7561957836151123,1.7561957836151123,2592
4,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,1.624006748199463,1.624006748199463,2592
5,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,1.767653226852417,1.767653226852417,2592
6,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,1.7933011054992676,1.7933011054992676,2592
7,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,2.0682103633880615,2.0682103633880615,2592
8,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,1.6348588466644287,1.6348588466644287,2592
9,24,1031,5,1012,0.5091698841698842,0.8275862068965517,0.023166023166023165,0.9951737451737451,0.04507042253521127,1.5798017978668213,1.5798017978668213,2592
10,26,1031,5,1010,0.5101351351351351,0.8387096774193549,0.025096525096525095,0.9951737451737451,0.048734770384254916,1.554626226425171,1.554626226425171,2592
2,1244,4,1240,0,0.5016077170418006,0.500805152979066,1.0,0.003215434083601286,0.6673819742489271,1.7359528541564941,1.7359528541564941,3110
3,27,1239,5,1217,0.5088424437299035,0.84375,0.021704180064308683,0.9959807073954984,0.042319749216300946,1.610109806060791,1.610109806060791,3110
4,27,1239,5,1217,0.5088424437299035,0.84375,0.021704180064308683,0.9959807073954984,0.042319749216300946,1.4983670711517334,1.4983670711517334,3110
5,27,1239,5,1217,0.5088424437299035,0.84375,0.021704180064308683,0.9959807073954984,0.042319749216300946,1.5927929878234863,1.5927929878234863,3110
6,27,1239,5,1217,0.5088424437299035,0.84375,0.021704180064308683,0.9959807073954984,0.042319749216300946,1.666337013244629,1.666337013244629,3110
7,27,1239,5,1217,0.5088424437299035,0.84375,0.021704180064308683,0.9959807073954984,0.042319749216300946,2.0290420055389404,2.0290420055389404,3110
8,27,1239,5,1217,0.5088424437299035,0.84375,0.021704180064308683,0.9959807073954984,0.042319749216300946,1.773245096206665,1.773245096206665,3110
9,29,1239,5,1215,0.5096463022508039,0.8529411764705882,0.023311897106109324,0.9959807073954984,0.045383411580594675,1.7169318199157715,1.7169318199157715,3110
10,29,1239,5,1215,0.5096463022508039,0.8529411764705882,0.023311897106109324,0.9959807073954984,0.045383411580594675,1.728478193283081,1.728478193283081,3110
2,1451,6,1445,0,0.5020675396278429,0.50103591160221,1.0,0.004135079255685734,0.6675868414998849,2.0513088703155518,2.0513088703155518,3628
3,1450,6,1445,1,0.5017229496898691,0.5008635578583766,0.9993108201240524,0.004135079255685734,0.6672802577082375,1.9971351623535156,1.9971351623535156,3628
4,32,1444,7,1419,0.5086147484493453,0.8205128205128205,0.022053756030323914,0.9951757408683667,0.04295302013422819,1.9264991283416748,1.9264991283416748,3628
5,32,1444,7,1419,0.5086147484493453,0.8205128205128205,0.022053756030323914,0.9951757408683667,0.04295302013422819,1.7310762405395508,1.7310762405395508,3628
6,32,1444,7,1419,0.5086147484493453,0.8205128205128205,0.022053756030323914,0.9951757408683667,0.04295302013422819,1.5739970207214355,1.5739970207214355,3628
7,32,1444,7,1419,0.5086147484493453,0.8205128205128205,0.022053756030323914,0.9951757408683667,0.04295302013422819,1.6293509006500244,1.6293509006500244,3628
8,32,1444,7,1419,0.5086147484493453,0.8205128205128205,0.022053756030323914,0.9951757408683667,0.04295302013422819,1.7889399528503418,1.7889399528503418,3628
9,34,1444,7,1417,0.5093039283252929,0.8292682926829268,0.02343211578221916,0.9951757408683667,0.045576407506702415,1.6979317665100098,1.6979317665100098,3628
10,34,1444,7,1417,0.5093039283252929,0.8292682926829268,0.02343211578221916,0.9951757408683667,0.045576407506702415,1.8909461498260498,1.8909461498260498,3628
2,1658,7,1652,0,0.5019596020500452,0.5009063444108761,1.0,0.004219409282700422,0.6674718196457327,2.1598429679870605,2.1598429679870605,4147
3,35,1651,8,1623,0.5082906240578836,0.813953488372093,0.021109770808202654,0.995177817962628,0.0411522633744856,1.8998231887817383,1.8998231887817383,4147
4,35,1651,8,1623,0.5082906240578836,0.813953488372093,0.021109770808202654,0.995177817962628,0.0411522633744856,2.1718430519104004,2.1718430519104004,4147
