Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
0,2,189,125,82,18,0.7584541062801933,0.6974169741697417,0.9130434782608695,0.6038647342995169,0.7907949790794978,139.39920163154602,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
0,3,173,143,64,34,0.7632850241545893,0.729957805907173,0.8357487922705314,0.6908212560386473,0.7792792792792793,259.41185092926025,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
0,4,171,148,59,36,0.7705314009661836,0.7434782608695653,0.8260869565217391,0.714975845410628,0.782608695652174,420.4732756614685,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,5,171,149,58,36,0.7729468599033816,0.7467248908296943,0.8260869565217391,0.7198067632850241,0.7844036697247706,1437.6261265277863,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,5,140,95,112,67,0.5676328502415459,0.5555555555555556,0.6763285024154589,0.45893719806763283,0.6100217864923747,149.89442706108093,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,6,161,152,55,46,0.7560386473429952,0.7453703703703703,0.7777777777777778,0.7342995169082126,0.7612293144208038,907.2361319065094,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,6,139,93,114,68,0.5603864734299517,0.549407114624506,0.6714975845410628,0.4492753623188406,0.6043478260869565,149.4033362865448,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,7,139,192,15,68,0.7995169082125604,0.9025974025974026,0.6714975845410628,0.927536231884058,0.7700831024930749,1241.9505770206451,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,7,135,163,44,72,0.7198067632850241,0.7541899441340782,0.6521739130434783,0.7874396135265701,0.6994818652849741,177.45864629745483,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,8,128,193,14,79,0.7753623188405797,0.9014084507042254,0.6183574879227053,0.9323671497584541,0.7335243553008596,1724.9447846412659,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,8,133,140,67,74,0.6594202898550725,0.665,0.642512077294686,0.6763285024154589,0.6535626535626535,174.61012434959412,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,9,128,194,13,79,0.7777777777777778,0.9078014184397163,0.6183574879227053,0.9371980676328503,0.7356321839080459,2493.5687856674194,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,9,133,142,65,74,0.6642512077294686,0.6717171717171717,0.642512077294686,0.6859903381642513,0.6567901234567901,176.1719205379486,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,10,74,200,7,133,0.6618357487922706,0.9135802469135802,0.357487922705314,0.966183574879227,0.5138888888888888,53294.72265458107,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,518
ibm_sherbrooke,10,76,200,7,131,0.6666666666666666,0.9156626506024096,0.3671497584541063,0.966183574879227,0.5241379310344828,145.15078401565552,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,518
ibm_brisbane,2,378,236,178,36,0.7415458937198067,0.6798561151079137,0.9130434782608695,0.5700483091787439,0.7793814432989691,772.553872346878,4.912659,,127,5.27237143766294e-05,5.27237143766294e-05,0.0266478531003937,1036
ibm_sherbrooke,2,378,236,178,36,0.7415458937198067,0.6798561151079137,0.9130434782608695,0.5700483091787439,0.7793814432989691,758.9432220458984,0,,127,0.0003767959201654911,0.0003767959201654911,0.029796690452755906,1036
ibm_brisbane,3,350,263,151,64,0.7403381642512077,0.6986027944111777,0.8454106280193237,0.6352657004830918,0.7650273224043717,1302.7240657806396,4.912659,,127,5.8205731058650834e-05,5.8205731058650834e-05,0.0266478531003937,1036
